,restaurant_id,restaurant_name,length,ave_rating,popularity,topic_id,topic_words
59,59,某某甜點 Quelques Pâtisseries,840,4.5,1529,13,"['""蛋糕"" ', '""甜點"" ', '""服務"" ', '""奶油"" ', '""味道"" ', '""店員"" ', '""喜歡"" ', '""巧克力"" ', '""草莓"" ', '""態度""']"
60,60,驥園川菜餐廳,840,4.2,3881,8,"['""雞湯"" ', '""服務"" ', '""夜市"" ', '""餐廳"" ', '""歌手"" ', '""適合"" ', '""地方"" ', '""味道"" ', '""推薦"" ', '""師大""']"
61,61,波記茶餐廳,840,4.1,3628,7,"['""服務"" ', '""味道"" ', '""餐點"" ', '""義大利麵"" ', '""調酒"" ', '""喜歡"" ', '""推薦"" ', '""用餐"" ', '""餐廳"" ', '""食物""']"
62,62,你回來啦 お帰り拉麵,840,4.3,2769,6,"['""拉麵"" ', '""湯頭"" ', '""柑橘"" ', '""叉燒"" ', '""味道"" ', '""豚骨"" ', '""喜歡"" ', '""麵條"" ', '""排隊"" ', '""蛤蜊""']"
63,63,Soba Shinn & 柑橘,840,4.5,3590,6,"['""拉麵"" ', '""湯頭"" ', '""柑橘"" ', '""叉燒"" ', '""味道"" ', '""豚骨"" ', '""喜歡"" ', '""麵條"" ', '""排隊"" ', '""蛤蜊""']"
64,64,PS TAPAS西班牙餐酒館,840,4.3,2917,1,"['""餐點"" ', '""服務"" ', '""適合"" ', '""環境"" ', '""用餐"" ', '""食物"" ', '""餐廳"" ', '""味道"" ', '""喜歡"" ', '""咖啡""']"
65,65,2J CAFE,840,4.3,1520,1,"['""餐點"" ', '""服務"" ', '""適合"" ', '""環境"" ', '""用餐"" ', '""食物"" ', '""餐廳"" ', '""味道"" ', '""喜歡"" ', '""咖啡""']"
66,66,2店,840,4.1,939,0,"['""服務"" ', '""炸雞"" ', '""餐點"" ', '""店員"" ', '""味道"" ', '""態度"" ', '""用餐"" ', '""韓式"" ', '""東西"" ', '""適合""']"
67,67,火之舞日式炭燒坊,840,3.9,1384,3,"['""服務"" ', '""新鮮"" ', '""用餐"" ', '""店員"" ', '""態度"" ', '""親切"" ', '""品質"" ', '""東西"" ', '""客人"" ', '""肉質""']"
68,68,好想吃冰 かき氷,840,4.2,2656,0,"['""服務"" ', '""炸雞"" ', '""餐點"" ', '""店員"" ', '""味道"" ', '""態度"" ', '""用餐"" ', '""韓式"" ', '""東西"" ', '""適合""']"
69,69,WUnique 無二法式甜點,790,4.2,1049,13,"['""蛋糕"" ', '""甜點"" ', '""服務"" ', '""奶油"" ', '""味道"" ', '""店員"" ', '""喜歡"" ', '""巧克力"" ', '""草莓"" ', '""態度""']"
70,70,燒肉眾 精緻炭火燒肉,840,4.5,5020,3,"['""服務"" ', '""新鮮"" ', '""用餐"" ', '""店員"" ', '""態度"" ', '""親切"" ', '""品質"" ', '""東西"" ', '""客人"" ', '""肉質""']"
71,71,Miacucina 復興店,840,4.1,2153,19,"['""餐點"" ', '""服務"" ', '""用餐"" ', '""環境"" ', '""份量"" ', '""餐廳"" ', '""適合"" ', '""味道"" ', '""喜歡"" ', '""食物""']"
